# File generated by CMD 2.7 (http://stev.oapd.inaf.it/cmd) on Mon Nov  2 14:59:04 CET 2015
# PARSEC isochrones, release v1.2S
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014), MNRAS, 444, 2525 + Tang et al. (2014), MNRAS, 445, 4287 + Chen et al. (2015), MNRAS accepted
# Warning: the TP-AGB phase is not included! TP-AGB tracks are in preparation by Marigo et al.
# Photometric system: <i>UBVRIJHK</i> (cf. Maiz-Apellaniz 2006 + Bessell 1990)
# Using NBC version of bolometric corrections as in Chen et al. (2014), MNRAS, 444, 2525
# BCs of Carbon stars derive from Aringer et al. (2009, A&A 503, 913)
# O-rich circumstellar dust ignored
# C-rich circumstellar dust ignored
# IMF: Chabrier (2001) lognormal 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# Kind of output: isochrone tables
#	Isochrone  Z = 0.01900	Y = 0.28242	[M/H] = 0.119	eta_R = 0.200	Age = 	2.0000e+09 yr
# EDITED to remove evolved stars by ERN
#      Z	log(age/yr)	M_ini   	M_act	logL/Lo	logTe	logG	mbol    U       B       V       R       I       J       H       K	int_IMF	stage
	0.019000	9.3010	0.09000000	0.0900	-3.4332	3.3559	5.2011	13.353	26.042	22.399	20.340	17.452	14.725	11.148	10.560	10.222	1.46765435	0
	0.019000	9.3010	0.10000000	0.1000	-3.2611	3.3797	5.1698	12.923	24.174	21.000	19.048	16.469	13.948	10.774	10.184	9.847	1.57040203	0
	0.019000	9.3010	0.10180652	0.1018	-3.2365	3.3828	5.1654	12.861	23.924	20.811	18.874	16.335	13.841	10.720	10.130	9.792	1.58790421	1
	0.019000	9.3010	0.12000000	0.1200	-3.0083	3.4116	5.1239	12.291	21.626	19.073	17.259	15.092	12.848	10.218	9.626	9.290	1.74782515	1
	0.019000	9.3010	0.14000000	0.1400	-2.8214	3.4333	5.0907	11.824	19.900	17.745	16.023	14.129	12.067	9.801	9.208	8.876	1.89584959	1
	0.019000	9.3010	0.16000000	0.1600	-2.6781	3.4477	5.0628	11.465	18.838	16.885	15.227	13.485	11.534	9.475	8.880	8.554	2.02115250	1
	0.019000	9.3010	0.20000000	0.2000	-2.4636	3.4664	5.0203	10.929	17.469	15.749	14.153	12.594	10.802	8.983	8.385	8.072	2.22178221	1
	0.019000	9.3010	0.22309940	0.2231	-2.3645	3.4744	5.0007	10.681	16.905	15.269	13.698	12.210	10.484	8.754	8.154	7.847	2.31504822	1
	0.019000	9.3010	0.25000000	0.2500	-2.2610	3.4828	4.9802	10.423	16.347	14.786	13.235	11.814	10.159	8.515	7.913	7.614	2.40809011	1
	0.019000	9.3010	0.30000001	0.3000	-2.1016	3.4949	4.9483	10.024	15.565	14.093	12.568	11.232	9.679	8.146	7.539	7.253	2.54750419	1
	0.019000	9.3010	0.33499476	0.3350	-1.9862	3.5012	4.9059	9.736	15.084	13.662	12.160	10.864	9.356	7.871	7.261	6.981	2.62580752	1
	0.019000	9.3010	0.34999999	0.3500	-1.9441	3.5040	4.8942	9.630	14.904	13.498	12.003	10.725	9.236	7.772	7.160	6.884	2.65552020	0
	0.019000	9.3010	0.40000001	0.4000	-1.8007	3.5153	4.8539	9.272	14.271	12.918	11.451	10.235	8.823	7.441	6.820	6.556	2.74133730	0
	0.019000	9.3010	0.44999999	0.4500	-1.6541	3.5274	4.8071	8.905	13.656	12.339	10.901	9.743	8.409	7.104	6.471	6.221	2.81098008	0
	0.019000	9.3010	0.48243573	0.4824	-1.5548	3.5364	4.7739	8.657	13.255	11.950	10.532	9.412	8.130	6.878	6.236	5.995	2.84944820	1
	0.019000	9.3010	0.50000000	0.5000	-1.5038	3.5411	4.7571	8.530	13.055	11.753	10.344	9.244	7.988	6.762	6.115	5.879	2.86847806	1
	0.019000	9.3010	0.55000001	0.5500	-1.3464	3.5585	4.7108	8.136	12.434	11.119	9.731	8.691	7.546	6.414	5.751	5.534	2.91663504	1
	0.019000	9.3010	0.60000002	0.6000	-1.1865	3.5805	4.6766	7.736	11.798	10.440	9.065	8.087	7.099	6.076	5.394	5.204	2.95739889	1
